Status,Progress,Duration (in seconds),Finished,UserLanguage,StratAcadUES,EffortAcadUES,StratSportsUES,EffortSportsUES,StratParentUES,EffortParentUES,StratDietUES,EffortDietUES,EffortTeamUES,StratTeamUES,StratSalesUES,EffortSalesUES,StratRelationUES,EffortRelationUES,StratAcadUSE,EffortAcadUSE,StratSportsUSE,EffortSportsUSE,StratParentUSE,EffortParentUSE,StratDietUSE,EffortDietUSE,StratTeamUSE,EffortTeamUSE,StratSalesUSE,EffortSalesUSE,StratRelationUSE,EffortRelationUSE,EffortDim1_1,EffortDim1_2,EffortDim1_3,EffortDim2_1,EffortDim2_2,EffortDim2_3,EffortDim3_1,EffortDim3_2,EffortDim3_3,EffortDim4_1,EffortDim4_2,EffortDim4_3,StratDim1_1,StratDim1_2,StratDim1_3,StratDim2_1,StratDim2_2,StratDim2_3,StratDim3_1,StratDim3_2,StratDim3_3,StratDim4_1,StratDim4_2,StratDim4_3,Gender,Race,Race_6_TEXT,Age,Education,FL_134_DO,FL_133_DO,FL_111_DO,FL_26_DO
0,100,417,1,EN,6,6,3,3,6,6,6,6,3,3,3,3,2,2,,,,,,,,,,,,,,,7,2,7,2,4,5,7,5,5,3,6,3,6,2,8,2,5,7,7,5,4,2,8,3,2,"1,2",,22,4,FL_133,EffortRelationshipDifficulty-UES|EffortDietDifficulty-UES|EffortSportsDifficulty-UES|EffortTeamworkDifficulty-UES|StrategySportsDifficulty-UES|StrategyAcademicDifficulty-UES|StrategySalesDifficulty-UES|StrategyParentingDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortAcademicDifficulty-UES|StrategyRelationshipDifficulty-UES|StrategyDietDifficulty-UES|EffortSalesDifficulty-UES|EffortParentingDifficulty-UES,,StrategyDimensions|EffortDimensions
0,100,372,1,EN,,,,,,,,,,,,,,,5,6,2,3,2,2,2,2,5,5,2,2,2,2,8,1,5,3,6,3,9,8,3,2,8,6,2,2,7,2,5,3,8,5,4,2,8,4,1,1,,35,5,FL_111,,EffortSportsDifficulty-USE|EffortParentingDifficulty-USE|StrategyDietDifficulty-USE|StrategyRelationshipDifficulty-USE|EffortRelationshipDifficulty-USE|StrategyTeamworkDifficulty-USE|EffortTeamworkDifficulty-USE|EffortAcademicDifficulty-USE|StrategySalesDifficulty-USE|EffortSalesDifficulty-USE|StrategyAcademicDifficulty-USE|EffortDietDifficulty-USE|StrategySportsDifficulty-USE|StrategyParentingDifficulty-USE,EffortDimensions|StrategyDimensions
0,100,382,1,EN,,,,,,,,,,,,,,,5,3,3,3,3,3,2,2,5,3,5,5,2,2,1,1,1,1,1,1,9,9,1,1,9,9,3,1,5,1,1,4,9,5,3,2,9,4,1,"1,2",,25,4,FL_111,,StrategyAcademicDifficulty-USE|EffortDietDifficulty-USE|StrategyRelationshipDifficulty-USE|EffortRelationshipDifficulty-USE|StrategyTeamworkDifficulty-USE|StrategyParentingDifficulty-USE|StrategySalesDifficulty-USE|EffortSalesDifficulty-USE|EffortTeamworkDifficulty-USE|EffortSportsDifficulty-USE|EffortAcademicDifficulty-USE|StrategySportsDifficulty-USE|StrategyDietDifficulty-USE|EffortParentingDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,389,1,EN,,,,,,,,,,,,,,,2,3,2,3,5,3,3,3,2,5,5,3,2,3,1,1,8,1,1,1,9,5,1,1,9,8,5,2,7,1,1,4,8,3,5,2,8,4,1,1,,46,5,FL_111,,StrategyDietDifficulty-USE|EffortDietDifficulty-USE|StrategyAcademicDifficulty-USE|EffortAcademicDifficulty-USE|StrategySalesDifficulty-USE|EffortSalesDifficulty-USE|EffortParentingDifficulty-USE|StrategyParentingDifficulty-USE|EffortTeamworkDifficulty-USE|EffortRelationshipDifficulty-USE|StrategyRelationshipDifficulty-USE|StrategySportsDifficulty-USE|EffortSportsDifficulty-USE|StrategyTeamworkDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,228,1,EN,,,,,,,,,,,,,,,2,3,5,2,5,3,2,3,5,3,2,3,2,3,1,1,9,1,9,1,9,9,1,1,9,9,6,4,6,4,5,4,6,4,5,4,6,5,2,1,,31,5,FL_111,,StrategyTeamworkDifficulty-USE|StrategySalesDifficulty-USE|StrategyDietDifficulty-USE|EffortSportsDifficulty-USE|EffortTeamworkDifficulty-USE|StrategySportsDifficulty-USE|EffortSalesDifficulty-USE|EffortDietDifficulty-USE|StrategyAcademicDifficulty-USE|EffortAcademicDifficulty-USE|EffortParentingDifficulty-USE|StrategyParentingDifficulty-USE|EffortRelationshipDifficulty-USE|StrategyRelationshipDifficulty-USE,EffortDimensions|StrategyDimensions
0,100,498,1,EN,3,6,3,5,3,5,5,2,3,3,3,3,3,5,,,,,,,,,,,,,,,4,2,7,3,9,3,6,8,2,2,9,8,4,3,7,3,8,2,7,8,2,2,8,8,2,1,,27,4,FL_133,StrategySportsDifficulty-UES|StrategyDietDifficulty-UES|StrategyRelationshipDifficulty-UES|EffortSportsDifficulty-UES|StrategySalesDifficulty-UES|EffortParentingDifficulty-UES|EffortAcademicDifficulty-UES|EffortTeamworkDifficulty-UES|StrategyTeamworkDifficulty-UES|StrategyAcademicDifficulty-UES|EffortRelationshipDifficulty-UES|EffortSalesDifficulty-UES|StrategyParentingDifficulty-UES|EffortDietDifficulty-UES,,StrategyDimensions|EffortDimensions
0,100,447,1,EN,,,,,,,,,,,,,,,5,5,5,5,2,2,3,3,2,2,2,2,2,2,1,1,5,1,7,1,7,7,1,1,9,7,6,2,5,2,6,3,4,7,2,1,9,7,1,1,,24,5,FL_111,,StrategyRelationshipDifficulty-USE|StrategyAcademicDifficulty-USE|StrategyTeamworkDifficulty-USE|StrategySalesDifficulty-USE|StrategyDietDifficulty-USE|EffortParentingDifficulty-USE|EffortSalesDifficulty-USE|StrategySportsDifficulty-USE|EffortAcademicDifficulty-USE|StrategyParentingDifficulty-USE|EffortTeamworkDifficulty-USE|EffortSportsDifficulty-USE|EffortDietDifficulty-USE|EffortRelationshipDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,364,1,EN,,,,,,,,,,,,,,,3,2,2,2,3,3,3,1,2,1,2,4,4,3,6,5,7,6,4,6,9,6,5,5,4,5,7,5,5,7,6,6,6,4,6,3,6,6,1,"1,2",,27,4,FL_111,,EffortParentingDifficulty-USE|StrategyTeamworkDifficulty-USE|EffortSportsDifficulty-USE|StrategyDietDifficulty-USE|EffortSalesDifficulty-USE|StrategySalesDifficulty-USE|StrategyAcademicDifficulty-USE|StrategyParentingDifficulty-USE|StrategySportsDifficulty-USE|EffortRelationshipDifficulty-USE|EffortTeamworkDifficulty-USE|StrategyRelationshipDifficulty-USE|EffortAcademicDifficulty-USE|EffortDietDifficulty-USE,EffortDimensions|StrategyDimensions
0,100,502,1,EN,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,9,1,2,2,9,8,2,2,8,8,3,3,7,1,2,2,9,8,1,2,9,6,2,1,,45,5,FL_111,,EffortSportsDifficulty-USE|EffortTeamworkDifficulty-USE|StrategyDietDifficulty-USE|StrategyRelationshipDifficulty-USE|EffortAcademicDifficulty-USE|StrategyAcademicDifficulty-USE|StrategyTeamworkDifficulty-USE|EffortDietDifficulty-USE|EffortParentingDifficulty-USE|EffortRelationshipDifficulty-USE|StrategySalesDifficulty-USE|EffortSalesDifficulty-USE|StrategySportsDifficulty-USE|StrategyParentingDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,431,1,EN,3,2,3,2,6,2,3,6,3,3,4,4,3,2,,,,,,,,,,,,,,,1,1,5,1,8,1,9,9,1,1,9,8,9,7,5,4,5,5,5,5,5,5,5,5,2,1,,38,5,FL_133,EffortSalesDifficulty-UES|EffortAcademicDifficulty-UES|EffortDietDifficulty-UES|StrategySalesDifficulty-UES|StrategyAcademicDifficulty-UES|EffortRelationshipDifficulty-UES|StrategyParentingDifficulty-UES|StrategyDietDifficulty-UES|StrategySportsDifficulty-UES|EffortTeamworkDifficulty-UES|EffortSportsDifficulty-UES|StrategyRelationshipDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortParentingDifficulty-UES,,EffortDimensions|StrategyDimensions
0,100,487,1,EN,,,,,,,,,,,,,,,2,3,6,3,5,6,5,5,5,3,2,5,3,2,1,1,9,1,9,1,9,9,1,1,9,7,1,1,3,1,5,1,9,9,1,6,9,5,2,1,,33,5,FL_111,,StrategyRelationshipDifficulty-USE|EffortRelationshipDifficulty-USE|EffortTeamworkDifficulty-USE|EffortParentingDifficulty-USE|StrategyAcademicDifficulty-USE|EffortAcademicDifficulty-USE|StrategySportsDifficulty-USE|EffortDietDifficulty-USE|StrategyParentingDifficulty-USE|EffortSalesDifficulty-USE|EffortSportsDifficulty-USE|StrategySalesDifficulty-USE|StrategyTeamworkDifficulty-USE|StrategyDietDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,497,1,EN,,,,,,,,,,,,,,,2,3,5,3,2,6,5,3,5,5,2,2,2,2,2,1,4,2,8,1,5,9,2,1,7,8,6,4,5,3,3,5,8,4,5,3,8,4,1,1,,36,5,FL_111,,EffortAcademicDifficulty-USE|EffortRelationshipDifficulty-USE|EffortParentingDifficulty-USE|StrategyAcademicDifficulty-USE|EffortTeamworkDifficulty-USE|EffortSalesDifficulty-USE|StrategySalesDifficulty-USE|StrategySportsDifficulty-USE|StrategyTeamworkDifficulty-USE|EffortDietDifficulty-USE|StrategyDietDifficulty-USE|EffortSportsDifficulty-USE|StrategyParentingDifficulty-USE|StrategyRelationshipDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,413,1,EN,5,2,3,2,6,6,3,2,3,6,3,2,5,5,,,,,,,,,,,,,,,2,2,4,2,8,2,8,8,1,2,8,8,9,1,6,1,8,2,8,8,2,1,9,8,1,1,,32,3,FL_133,StrategyAcademicDifficulty-UES|StrategySalesDifficulty-UES|EffortSalesDifficulty-UES|EffortDietDifficulty-UES|StrategySportsDifficulty-UES|EffortParentingDifficulty-UES|StrategyParentingDifficulty-UES|EffortTeamworkDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortAcademicDifficulty-UES|StrategyDietDifficulty-UES|EffortSportsDifficulty-UES|StrategyRelationshipDifficulty-UES|EffortRelationshipDifficulty-UES,,StrategyDimensions|EffortDimensions
0,100,392,1,EN,,,,,,,,,,,,,,,2,2,2,2,2,2,5,5,5,5,2,2,6,6,3,2,6,2,6,3,6,7,4,2,7,6,7,4,5,2,5,5,8,6,3,3,8,6,1,1,,47,5,FL_111,,StrategySportsDifficulty-USE|StrategyParentingDifficulty-USE|EffortDietDifficulty-USE|EffortSalesDifficulty-USE|EffortParentingDifficulty-USE|EffortRelationshipDifficulty-USE|EffortTeamworkDifficulty-USE|EffortSportsDifficulty-USE|EffortAcademicDifficulty-USE|StrategyDietDifficulty-USE|StrategyTeamworkDifficulty-USE|StrategyAcademicDifficulty-USE|StrategyRelationshipDifficulty-USE|StrategySalesDifficulty-USE,EffortDimensions|StrategyDimensions
0,100,521,1,EN,5,3,2,4,3,4,2,2,5,5,4,2,2,5,,,,,,,,,,,,,,,7,2,5,7,6,3,2,9,6,6,6,8,7,3,5,2,4,7,3,3,8,8,1,5,1,1,,31,4,FL_133,StrategyRelationshipDifficulty-UES|StrategyAcademicDifficulty-UES|EffortAcademicDifficulty-UES|EffortRelationshipDifficulty-UES|StrategySportsDifficulty-UES|EffortTeamworkDifficulty-UES|StrategyDietDifficulty-UES|StrategySalesDifficulty-UES|EffortSalesDifficulty-UES|StrategyTeamworkDifficulty-UES|StrategyParentingDifficulty-UES|EffortParentingDifficulty-UES|EffortDietDifficulty-UES|EffortSportsDifficulty-UES,,EffortDimensions|StrategyDimensions
0,100,328,1,EN,,,,,,,,,,,,,,,5,3,5,3,5,5,2,6,5,3,2,3,2,6,3,1,7,3,4,3,9,6,1,3,9,4,7,3,6,1,4,4,9,6,3,1,9,5,2,5,,37,5,FL_111,,EffortAcademicDifficulty-USE|EffortParentingDifficulty-USE|StrategyParentingDifficulty-USE|StrategyAcademicDifficulty-USE|StrategySalesDifficulty-USE|EffortRelationshipDifficulty-USE|StrategySportsDifficulty-USE|EffortTeamworkDifficulty-USE|StrategyTeamworkDifficulty-USE|EffortDietDifficulty-USE|StrategyDietDifficulty-USE|EffortSalesDifficulty-USE|EffortSportsDifficulty-USE|StrategyRelationshipDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,519,1,EN,,,,,,,,,,,,,,,5,5,2,2,5,2,5,5,2,5,2,2,3,3,3,3,5,3,6,2,5,6,3,2,9,6,7,3,5,2,5,5,5,6,4,3,5,6,2,1,,44,6,FL_111,,StrategySportsDifficulty-USE|EffortSalesDifficulty-USE|EffortDietDifficulty-USE|StrategyRelationshipDifficulty-USE|EffortParentingDifficulty-USE|EffortTeamworkDifficulty-USE|StrategySalesDifficulty-USE|StrategyTeamworkDifficulty-USE|StrategyParentingDifficulty-USE|EffortAcademicDifficulty-USE|StrategyDietDifficulty-USE|StrategyAcademicDifficulty-USE|EffortSportsDifficulty-USE|EffortRelationshipDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,460,1,EN,,,,,,,,,,,,,,,5,3,2,3,5,5,3,3,5,2,2,2,2,2,1,1,9,1,9,1,9,9,1,1,9,9,1,1,9,1,9,1,9,9,1,1,9,9,2,1,,68,4,FL_111,,StrategyRelationshipDifficulty-USE|EffortDietDifficulty-USE|StrategyTeamworkDifficulty-USE|EffortAcademicDifficulty-USE|StrategyParentingDifficulty-USE|EffortTeamworkDifficulty-USE|StrategySalesDifficulty-USE|EffortSportsDifficulty-USE|EffortSalesDifficulty-USE|StrategySportsDifficulty-USE|StrategyAcademicDifficulty-USE|EffortRelationshipDifficulty-USE|StrategyDietDifficulty-USE|EffortParentingDifficulty-USE,EffortDimensions|StrategyDimensions
0,100,542,1,EN,,,,,,,,,,,,,,,2,6,5,3,5,6,2,5,2,5,5,2,2,6,1,1,6,1,9,1,9,9,1,1,9,9,5,4,6,4,6,5,7,8,4,4,7,5,2,1,,37,5,FL_111,,EffortTeamworkDifficulty-USE|EffortRelationshipDifficulty-USE|StrategySportsDifficulty-USE|StrategyRelationshipDifficulty-USE|StrategyDietDifficulty-USE|EffortDietDifficulty-USE|StrategyTeamworkDifficulty-USE|EffortAcademicDifficulty-USE|StrategyParentingDifficulty-USE|StrategySalesDifficulty-USE|EffortSportsDifficulty-USE|EffortSalesDifficulty-USE|StrategyAcademicDifficulty-USE|EffortParentingDifficulty-USE,EffortDimensions|StrategyDimensions
0,100,458,1,EN,,,,,,,,,,,,,,,4,4,3,3,5,5,2,2,5,5,2,2,2,2,1,1,5,1,1,1,1,1,1,1,9,5,9,1,5,1,9,1,9,9,5,1,9,9,2,5,,50,7,FL_111,,EffortTeamworkDifficulty-USE|StrategyTeamworkDifficulty-USE|EffortSalesDifficulty-USE|StrategyRelationshipDifficulty-USE|StrategyAcademicDifficulty-USE|EffortAcademicDifficulty-USE|StrategySportsDifficulty-USE|EffortDietDifficulty-USE|EffortParentingDifficulty-USE|EffortRelationshipDifficulty-USE|StrategyDietDifficulty-USE|EffortSportsDifficulty-USE|StrategySalesDifficulty-USE|StrategyParentingDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,528,1,EN,,,,,,,,,,,,,,,5,5,3,3,6,6,5,5,2,2,2,2,2,2,1,1,9,1,9,1,9,9,1,1,9,9,3,1,9,1,9,2,9,9,1,1,9,9,2,1,,66,5,FL_111,,StrategySportsDifficulty-USE|EffortSalesDifficulty-USE|StrategyAcademicDifficulty-USE|EffortTeamworkDifficulty-USE|EffortRelationshipDifficulty-USE|EffortSportsDifficulty-USE|StrategyRelationshipDifficulty-USE|StrategySalesDifficulty-USE|EffortAcademicDifficulty-USE|StrategyParentingDifficulty-USE|EffortParentingDifficulty-USE|StrategyDietDifficulty-USE|EffortDietDifficulty-USE|StrategyTeamworkDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,388,1,EN,2,2,3,3,5,5,2,2,3,3,3,3,3,3,,,,,,,,,,,,,,,1,1,9,1,5,1,5,5,3,1,7,5,5,5,7,4,5,5,7,5,4,3,6,5,2,1,,49,3,FL_133,EffortSportsDifficulty-UES|EffortSalesDifficulty-UES|EffortAcademicDifficulty-UES|StrategyDietDifficulty-UES|StrategyParentingDifficulty-UES|StrategyRelationshipDifficulty-UES|StrategyAcademicDifficulty-UES|EffortRelationshipDifficulty-UES|StrategySalesDifficulty-UES|StrategyTeamworkDifficulty-UES|StrategySportsDifficulty-UES|EffortParentingDifficulty-UES|EffortDietDifficulty-UES|EffortTeamworkDifficulty-UES,,EffortDimensions|StrategyDimensions
0,100,299,1,EN,2,2,4,2,6,4,5,1,2,3,3,5,3,2,,,,,,,,,,,,,,,2,3,8,2,6,2,8,7,2,2,8,3,9,2,8,2,2,3,8,7,3,2,8,3,1,1,,42,6,FL_133,EffortAcademicDifficulty-UES|StrategyRelationshipDifficulty-UES|StrategyDietDifficulty-UES|StrategySalesDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortSportsDifficulty-UES|EffortParentingDifficulty-UES|EffortDietDifficulty-UES|EffortTeamworkDifficulty-UES|StrategyParentingDifficulty-UES|EffortSalesDifficulty-UES|EffortRelationshipDifficulty-UES|StrategyAcademicDifficulty-UES|StrategySportsDifficulty-UES,,StrategyDimensions|EffortDimensions
0,100,296,1,EN,,,,,,,,,,,,,,,2,3,2,3,5,6,3,3,5,3,5,3,2,3,1,1,5,1,9,1,9,9,1,1,9,9,5,5,5,2,5,5,5,5,5,2,9,5,2,1,,26,4,FL_111,,EffortAcademicDifficulty-USE|StrategyAcademicDifficulty-USE|StrategyDietDifficulty-USE|StrategyParentingDifficulty-USE|StrategyRelationshipDifficulty-USE|EffortDietDifficulty-USE|EffortSportsDifficulty-USE|EffortRelationshipDifficulty-USE|EffortParentingDifficulty-USE|StrategySalesDifficulty-USE|EffortSalesDifficulty-USE|StrategyTeamworkDifficulty-USE|EffortTeamworkDifficulty-USE|StrategySportsDifficulty-USE,EffortDimensions|StrategyDimensions
0,100,424,1,EN,,,,,,,,,,,,,,,2,3,2,6,2,3,5,3,5,3,2,2,2,3,1,1,9,1,9,1,1,9,1,1,9,9,1,1,9,1,6,2,7,8,1,1,9,8,1,1,,33,5,FL_111,,EffortSalesDifficulty-USE|EffortParentingDifficulty-USE|StrategySportsDifficulty-USE|StrategyParentingDifficulty-USE|StrategyAcademicDifficulty-USE|StrategyTeamworkDifficulty-USE|StrategySalesDifficulty-USE|EffortDietDifficulty-USE|StrategyRelationshipDifficulty-USE|EffortAcademicDifficulty-USE|EffortSportsDifficulty-USE|StrategyDietDifficulty-USE|EffortTeamworkDifficulty-USE|EffortRelationshipDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,372,1,EN,6,6,3,6,2,2,6,6,3,3,6,6,3,3,,,,,,,,,,,,,,,2,2,5,2,8,2,8,8,2,2,8,8,8,2,5,2,2,7,8,5,5,3,8,5,2,1,,46,5,FL_133,EffortParentingDifficulty-UES|EffortSportsDifficulty-UES|StrategyTeamworkDifficulty-UES|StrategyAcademicDifficulty-UES|EffortRelationshipDifficulty-UES|EffortTeamworkDifficulty-UES|EffortAcademicDifficulty-UES|StrategySportsDifficulty-UES|StrategyDietDifficulty-UES|StrategyParentingDifficulty-UES|EffortDietDifficulty-UES|StrategySalesDifficulty-UES|StrategyRelationshipDifficulty-UES|EffortSalesDifficulty-UES,,StrategyDimensions|EffortDimensions
0,100,321,1,EN,6,2,3,3,6,6,2,2,6,6,4,4,3,3,,,,,,,,,,,,,,,3,2,9,1,8,1,9,9,2,1,9,7,4,2,9,3,6,3,7,7,3,3,8,7,2,1,,29,3,FL_133,EffortSalesDifficulty-UES|EffortTeamworkDifficulty-UES|EffortRelationshipDifficulty-UES|StrategyAcademicDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortParentingDifficulty-UES|EffortAcademicDifficulty-UES|StrategySalesDifficulty-UES|StrategySportsDifficulty-UES|StrategyDietDifficulty-UES|EffortSportsDifficulty-UES|StrategyRelationshipDifficulty-UES|StrategyParentingDifficulty-UES|EffortDietDifficulty-UES,,StrategyDimensions|EffortDimensions
0,100,559,1,EN,5,5,3,3,6,6,5,5,6,6,4,4,6,5,,,,,,,,,,,,,,,1,1,9,1,9,1,9,9,1,1,9,9,5,1,9,1,9,1,9,9,1,1,9,9,1,1,,55,4,FL_133,EffortParentingDifficulty-UES|StrategyRelationshipDifficulty-UES|EffortSalesDifficulty-UES|StrategySportsDifficulty-UES|EffortAcademicDifficulty-UES|EffortDietDifficulty-UES|EffortSportsDifficulty-UES|StrategyAcademicDifficulty-UES|EffortRelationshipDifficulty-UES|StrategyDietDifficulty-UES|EffortTeamworkDifficulty-UES|StrategySalesDifficulty-UES|StrategyTeamworkDifficulty-UES|StrategyParentingDifficulty-UES,,EffortDimensions|StrategyDimensions
0,100,259,1,EN,2,2,1,1,2,2,2,1,1,1,2,1,1,1,,,,,,,,,,,,,,,3,2,2,3,3,3,8,2,2,3,8,8,8,3,2,3,2,2,2,2,9,7,8,8,2,3,,36,6,FL_133,StrategySalesDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortSportsDifficulty-UES|StrategyAcademicDifficulty-UES|StrategyParentingDifficulty-UES|EffortSalesDifficulty-UES|StrategyRelationshipDifficulty-UES|EffortParentingDifficulty-UES|EffortTeamworkDifficulty-UES|StrategyDietDifficulty-UES|EffortDietDifficulty-UES|StrategySportsDifficulty-UES|EffortRelationshipDifficulty-UES|EffortAcademicDifficulty-UES,,EffortDimensions|StrategyDimensions
0,100,414,1,EN,3,3,3,5,6,5,3,6,3,6,3,3,3,5,,,,,,,,,,,,,,,6,1,9,1,8,1,9,9,1,1,9,9,4,3,6,1,6,2,6,7,2,1,8,8,2,1,,34,6,FL_133,EffortDietDifficulty-UES|EffortAcademicDifficulty-UES|StrategySportsDifficulty-UES|StrategySalesDifficulty-UES|EffortSportsDifficulty-UES|EffortRelationshipDifficulty-UES|StrategyParentingDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortParentingDifficulty-UES|EffortSalesDifficulty-UES|EffortTeamworkDifficulty-UES|StrategyAcademicDifficulty-UES|StrategyDietDifficulty-UES|StrategyRelationshipDifficulty-UES,,EffortDimensions|StrategyDimensions
0,100,251,1,EN,,,,,,,,,,,,,,,2,3,2,5,1,6,4,3,5,5,5,1,5,6,9,8,7,9,8,7,8,6,8,6,8,7,5,8,7,9,8,9,4,8,7,9,8,9,1,1,,45,5,FL_111,,EffortSportsDifficulty-USE|StrategySportsDifficulty-USE|StrategySalesDifficulty-USE|EffortParentingDifficulty-USE|EffortSalesDifficulty-USE|EffortAcademicDifficulty-USE|EffortRelationshipDifficulty-USE|StrategyParentingDifficulty-USE|StrategyRelationshipDifficulty-USE|EffortDietDifficulty-USE|StrategyDietDifficulty-USE|StrategyTeamworkDifficulty-USE|StrategyAcademicDifficulty-USE|EffortTeamworkDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,523,1,EN,6,6,3,3,2,2,2,2,3,3,3,3,5,5,,,,,,,,,,,,,,,1,1,9,1,4,2,9,6,2,1,9,4,2,2,8,1,3,2,8,4,3,1,9,7,2,1,,45,5,FL_133,EffortRelationshipDifficulty-UES|StrategyParentingDifficulty-UES|EffortSalesDifficulty-UES|EffortParentingDifficulty-UES|StrategyAcademicDifficulty-UES|StrategySalesDifficulty-UES|StrategySportsDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortAcademicDifficulty-UES|EffortSportsDifficulty-UES|EffortDietDifficulty-UES|EffortTeamworkDifficulty-UES|StrategyRelationshipDifficulty-UES|StrategyDietDifficulty-UES,,StrategyDimensions|EffortDimensions
0,100,453,1,EN,3,2,2,2,6,6,2,6,3,3,3,3,5,2,,,,,,,,,,,,,,,3,3,9,1,9,1,8,9,1,1,9,9,7,4,7,3,3,3,7,7,4,3,8,6,2,1,,38,4,FL_133,EffortRelationshipDifficulty-UES|StrategyRelationshipDifficulty-UES|EffortAcademicDifficulty-UES|StrategyAcademicDifficulty-UES|EffortParentingDifficulty-UES|EffortSalesDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortSportsDifficulty-UES|StrategyParentingDifficulty-UES|StrategySportsDifficulty-UES|EffortDietDifficulty-UES|EffortTeamworkDifficulty-UES|StrategyDietDifficulty-UES|StrategySalesDifficulty-UES,,StrategyDimensions|EffortDimensions
0,100,239,1,EN,5,5,2,5,6,6,2,1,2,3,6,2,1,6,,,,,,,,,,,,,,,4,2,6,3,7,4,7,7,4,4,4,4,6,4,5,5,6,6,7,5,3,4,4,3,1,1,,29,3,FL_133,StrategyDietDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortSportsDifficulty-UES|EffortDietDifficulty-UES|EffortTeamworkDifficulty-UES|EffortRelationshipDifficulty-UES|StrategyParentingDifficulty-UES|StrategySalesDifficulty-UES|StrategySportsDifficulty-UES|StrategyAcademicDifficulty-UES|EffortAcademicDifficulty-UES|StrategyRelationshipDifficulty-UES|EffortSalesDifficulty-UES|EffortParentingDifficulty-UES,,StrategyDimensions|EffortDimensions
0,100,505,1,EN,,,,,,,,,,,,,,,5,3,6,2,3,4,3,6,2,3,2,3,3,3,1,1,5,1,2,1,5,9,4,1,5,5,5,5,5,3,1,5,7,5,5,2,9,2,1,3,,39,3,FL_111,,EffortSalesDifficulty-USE|EffortTeamworkDifficulty-USE|EffortSportsDifficulty-USE|EffortDietDifficulty-USE|EffortRelationshipDifficulty-USE|StrategyRelationshipDifficulty-USE|EffortParentingDifficulty-USE|StrategyDietDifficulty-USE|StrategyTeamworkDifficulty-USE|StrategySportsDifficulty-USE|EffortAcademicDifficulty-USE|StrategyParentingDifficulty-USE|StrategyAcademicDifficulty-USE|StrategySalesDifficulty-USE,EffortDimensions|StrategyDimensions
0,100,441,1,EN,,,,,,,,,,,,,,,3,5,2,2,2,2,5,5,5,5,4,4,2,2,1,1,9,1,9,1,9,9,1,1,9,9,2,1,9,1,1,1,9,9,1,1,9,8,1,1,,42,5,FL_111,,StrategyAcademicDifficulty-USE|EffortSalesDifficulty-USE|EffortSportsDifficulty-USE|StrategySportsDifficulty-USE|StrategySalesDifficulty-USE|StrategyParentingDifficulty-USE|EffortTeamworkDifficulty-USE|EffortDietDifficulty-USE|StrategyDietDifficulty-USE|StrategyRelationshipDifficulty-USE|EffortAcademicDifficulty-USE|EffortRelationshipDifficulty-USE|StrategyTeamworkDifficulty-USE|EffortParentingDifficulty-USE,StrategyDimensions|EffortDimensions
0,100,509,1,EN,6,6,3,3,2,2,2,2,3,3,3,3,2,2,,,,,,,,,,,,,,,3,3,8,3,8,3,7,7,2,2,8,7,3,3,7,3,8,4,8,7,3,3,8,7,2,1,,28,5,FL_133,StrategyRelationshipDifficulty-UES|StrategyParentingDifficulty-UES|EffortRelationshipDifficulty-UES|EffortSportsDifficulty-UES|EffortParentingDifficulty-UES|StrategyAcademicDifficulty-UES|StrategySportsDifficulty-UES|StrategySalesDifficulty-UES|EffortSalesDifficulty-UES|StrategyTeamworkDifficulty-UES|EffortDietDifficulty-UES|StrategyDietDifficulty-UES|EffortTeamworkDifficulty-UES|EffortAcademicDifficulty-UES,,StrategyDimensions|EffortDimensions
