ID,AptAdviceFail,AptExpectancyFail,AptAdviceSucc,AptExpectancySucc,EffortAdviceFail,EffortExpectancyFail,EffortAdviceSucc,EffortExpectancySucc,StratAdviseFail,StratExpectancyFail,StratAdviceSucc,StratExpectancySucc,Actions,Investigate,Invest,Switch,Transfer,Expectancy,AptOut,AptVar,AptUncon,EffortOut,EffortVar,EffortUncon,MoodOut,MoodVar,MoodUncon,StratOut,StratVar,StratUncon,LuckOut,LuckVar,LuckUncon,TaskOut,TaskVar,TaskUncon,SMS1,SMS2,SMS3,SMS4,SMS5,SMS6,SMS7,SMS8,SMS,SMO1,SMO2,SMO3,SMO,SO1,SO2,SO3,SO4,SO,Gender,Race_1,Race_2,Race_3,Race_4,Race_4_TEXT,Race_5,Race_7,Age,Education,Scenario,Valence,Attribution,DO-BR-FL_26,DO-BL-SO,Redo_Val,Redo_Den,Redo_Final,Method_Val,Method_Den,Method_Final,BruteForce_Val,BruteForce_Den,BruteForce_Final,TangibleRewards_Val,TangibleRewards_Den,TangibleRewards_Final,Threat_Val,Threat_Den,Threat_Final,Redo_Den2,Redo_Val2,Redo_Final2,BruteForce_Den2,BruteForce_Val2,BruteForce_Final2
78,,,,,,,,,,,I would compliment the employee and possibly give them a raise.,11,I would compliment the employee and possibly give them a raise.,0,0,0,0,11,1,7,4,1,7,1,1,7,1,1,4,1,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,2,2,1,1.666666667,2,3,2,2,2.25,1,1,,,,,,,53,2,Strategy Scenario Success,Success,Strategy,Luck Dimensions|Mood Dimensions|Strategy Dimensions|Task Dimensions|Effort Dimensions|Aptitude Dimensions,Q90|SO1|SO2|SO4|SO3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
79,"I would reject their proposal and give them another chance to make a better one with the condition that if they could not show they can improve and provide work up to par, they may be in danger of being let go.",6,,,,,,,,,,,"I would reject their proposal and give them another chance to make a better one with the condition that if they could not show they can improve and provide work up to par, they may be in danger of being let go.",0,0,0,0,6,2,6,2,1,7,1,1,7,2,1,7,1,7,7,7,4,7,5,4,4,5,2,5,5,5,5,4.375,5,4,4,4.333333333,4,4,3,4,3.75,2,1,,,,,,,42,4,Aptitude Scenario Fail,Fail,Aptitude,Luck Dimensions|Strategy Dimensions|Task Dimensions|Mood Dimensions|Effort Dimensions|Aptitude Dimensions,Q90|SO1|SO4|SO3|SO2,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0
80,,,,,,,,,,,I would praise the employee for their good work and offer a promotion if the strategy was effective.,8,I would praise the employee for their good work and offer a promotion if the strategy was effective.,0,0,0,0,8,2,3,4,2,5,3,2,6,2,5,5,3,6,7,7,6,6,5,4,5,4,2,3,4,4,4,3.75,6,5,4,5,3,3,4,3,3.25,1,1,,,,,,,26,3,Strategy Scenario Success,Success,Strategy,Aptitude Dimensions|Strategy Dimensions|Task Dimensions|Effort Dimensions|Luck Dimensions|Mood Dimensions,Q90|SO2|SO1|SO3|SO4,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
81,,,,,,,,,,,"I would take the proposal and show it to the head manager, in consideration for a promotion. This person deserves a raise and a promotion to management.",11,"I would take the proposal and show it to the head manager, in consideration for a promotion. This person deserves a raise and a promotion to management.",0,0,0,0,11,1,1,1,1,1,1,1,7,1,1,1,1,7,7,7,1,7,5,3,5,3,2,3,2,3,2,2.875,2,3,2,2.333333333,3,2,3,3,2.75,2,1,,,,,,,67,4,Strategy Scenario Success,Success,Strategy,Mood Dimensions|Luck Dimensions|Strategy Dimensions|Task Dimensions|Effort Dimensions|Aptitude Dimensions,Q90|SO2|SO4|SO1|SO3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
82,,,Make the proposal public while giving the employee a lot of credit and talking him or her up.  Perhaps give the employee a bonus or promotion to encourage that level of work from others.,10,,,,,,,,,Make the proposal public while giving the employee a lot of credit and talking him or her up.  Perhaps give the employee a bonus or promotion to encourage that level of work from others.,0,0,0,0,10,2,2,3,2,3,2,2,4,3,3,6,2,7,6,6,7,3,5,4,4,4,3,4,4,4,4,3.875,6,6,6,6,4,4,4,4,4,1,1,,,,,,,31,5,Aptitude Scenario Success,Success,Aptitude,Strategy Dimensions|Luck Dimensions|Mood Dimensions|Effort Dimensions|Aptitude Dimensions|Task Dimensions,Q90|SO4|SO1|SO3|SO2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
83,"I would see if this is the first time the employee has produced low quality work or if it is an ongoing issue. If the issue is new, I would kindly tell the employee that the proposal isn't quite ready yet and that he should put in some more time. If this was an ongoing issue, I would instead be a bit more critical and consider someone else help him on his work. If the issue had gone on for an extended period of time, I would consider changing the person's position to something less demanding, or as a last resort consider firing him.",7,,,,,,,,,,,"I would see if this is the first time the employee has produced low quality work or if it is an ongoing issue. If the issue is new, I would kindly tell the employee that the proposal isn't quite ready yet and that he should put in some more time. If this was an ongoing issue, I would instead be a bit more critical and consider someone else help him on his work. If the issue had gone on for an extended period of time, I would consider changing the person's position to something less demanding, or as a last resort consider firing him.",1,0,1,1,7,3,2,3,2,4,3,2,6,4,4,4,3,6,7,6,3,2,5,3,4,4,4,4,4,4,5,4,5,6,6,5.666666667,4,4,3,4,3.75,1,1,,,,,,,39,6,Aptitude Scenario Fail,Fail,Aptitude,Luck Dimensions|Effort Dimensions|Mood Dimensions|Strategy Dimensions|Aptitude Dimensions|Task Dimensions,Q90|SO1|SO4|SO2|SO3,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1
84,,,"I would commend the employee for the high quality work. I would also mention the employee to higher ups in the company, and groom him for possible promotion.",10,,,,,,,,,"I would commend the employee for the high quality work. I would also mention the employee to higher ups in the company, and groom him for possible promotion.",0,1,0,0,10,2,3,3,1,4,3,1,5,3,1,2,2,6,6,6,6,4,5,3,3,3,2,3,3,3,3,2.875,5,4,3,4,3,3,3,3,3,1,1,,,,,,,56,5,Aptitude Scenario Success,Success,Aptitude,Aptitude Dimensions|Strategy Dimensions|Mood Dimensions|Luck Dimensions|Task Dimensions|Effort Dimensions,Q90|SO2|SO1|SO4|SO3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
85,,,"Given the bare minimum facts you have laid out, I would definitely talk with the employee regarding either heading up the showcase efforts, or at least being a co-head with me.  The employee may have high aptitude but little experience.  ",9,,,,,,,,,"Given the bare minimum facts you have laid out, I would definitely talk with the employee regarding either heading up the showcase efforts, or at least being a co-head with me.  The employee may have high aptitude but little experience.  ",0,1,0,0,9,2,6,2,1,5,1,2,6,3,5,7,2,4,4,4,4,6,5,5,5,5,2,5,5,5,5,4.625,5,5,5,5,3,3,3,3,3,2,1,,,,,,,74,5,Aptitude Scenario Success,Success,Aptitude,Task Dimensions|Mood Dimensions|Strategy Dimensions|Aptitude Dimensions|Effort Dimensions|Luck Dimensions,Q90|SO1|SO4|SO2|SO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,,,,,,,,,i would talk to them about their work. I would try to encourage them.,6,,,i would talk to them about their work. I would try to encourage them.,0,0,0,0,6,5,6,4,6,3,4,5,2,3,5,2,3,3,1,6,5,3,5,4,2,3,5,4,1,2,3,3,6,3,4,4.333333333,3,4,1,2,2.5,1,1,,,,,,,35,5,Strategy Scenario Fail,Fail,Strategy,Task Dimensions|Strategy Dimensions|Aptitude Dimensions|Luck Dimensions|Effort Dimensions|Mood Dimensions,Q90|SO2|SO4|SO1|SO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,,,,,,,,,,,I would express my appreciation both personally and by email to the entire company and possibly recommend a raise or bonus.,11,I would express my appreciation both personally and by email to the entire company and possibly recommend a raise or bonus.,0,0,0,0,11,1,3,5,3,7,2,1,7,3,1,7,2,4,1,7,6,7,5,5,5,5,3,5,5,5,2,4.375,3,1,2,2,4,4,3,3,3.5,1,1,,,,,,,60,3,Strategy Scenario Success,Success,Strategy,Mood Dimensions|Luck Dimensions|Aptitude Dimensions|Effort Dimensions|Strategy Dimensions|Task Dimensions,Q90|SO3|SO4|SO2|SO1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
88,,,,,,,I would let the employee know what an excellent job they did and share their work with the rest of the company.,11,,,,,I would let the employee know what an excellent job they did and share their work with the rest of the company.,0,0,0,0,11,1,2,2,1,7,2,1,7,5,1,6,1,5,5,3,2,6,5,5,4,5,4,3,4,3,3,3.875,6,4,3,4.333333333,3,3,4,4,3.5,1,1,,,,,,,37,4,Effort Scenario Success,Success,Effort,Task Dimensions|Mood Dimensions|Effort Dimensions|Luck Dimensions|Strategy Dimensions|Aptitude Dimensions,Q90|SO3|SO4|SO1|SO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,,,,,I would explain to them that they did not put enough effort into it and that they should work on improving their views so that they are more in line with the companies views. I would tell them to try and improve their idea.s,8,,,,,,,I would explain to them that they did not put enough effort into it and that they should work on improving their views so that they are more in line with the companies views. I would tell them to try and improve their idea.s,0,0,0,0,8,3,4,2,1,2,2,1,5,3,2,3,3,6,7,6,5,6,5,4,4,3,4,3,3,3,3,3.375,3,4,4,3.666666667,3,3,3,4,3.25,1,1,,,,,,,23,5,Effort Scenario Fail,Fail,Effort,Aptitude Dimensions|Task Dimensions|Luck Dimensions|Strategy Dimensions|Mood Dimensions|Effort Dimensions,Q90|SO3|SO4|SO1|SO2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1
90,,,,,,,,,,,I would go forward with the employee's proposal. I think that the employee did a good job with it. I have faith in this employee's proposal.,10,I would go forward with the employee's proposal. I think that the employee did a good job with it. I have faith in this employee's proposal.,0,0,0,0,10,3,3,3,2,3,1,1,6,2,3,4,3,6,6,7,7,5,5,2,3,3,3,3,3,3,3,2.875,4,4,4,4,3,4,3,3,3.25,1,1,1,,,,,,29,4,Strategy Scenario Success,Success,Strategy,Effort Dimensions|Luck Dimensions|Strategy Dimensions|Mood Dimensions|Task Dimensions|Aptitude Dimensions,Q90|SO2|SO4|SO3|SO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,,,,,,,I would take the proposal and give a bonus.,10,,,,,I would take the proposal and give a bonus.,0,0,0,0,10,1,1,2,1,3,1,1,7,3,1,7,1,7,7,7,7,7,5,4,4,5,2,4,4,4,5,4,6,6,6,6,4,5,4,4,4.25,1,1,,,,,,,62,4,Effort Scenario Success,Success,Effort,Aptitude Dimensions|Strategy Dimensions|Luck Dimensions|Mood Dimensions|Effort Dimensions|Task Dimensions,Q90|SO3|SO2|SO4|SO1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
92,,,Share it with a high-level group of employees,8,,,,,,,,,Share it with a high-level group of employees,0,0,0,0,8,1,7,1,1,7,1,1,7,1,1,7,1,7,7,1,7,7,5,5,4,5,1,5,5,5,4,4.25,7,7,7,7,4,5,4,4,4.25,1,1,,,,,,,62,5,Aptitude Scenario Success,Success,Aptitude,Luck Dimensions|Effort Dimensions|Mood Dimensions|Aptitude Dimensions|Task Dimensions|Strategy Dimensions,Q90|SO4|SO1|SO2|SO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,,,,,Speak to them directly and let them know exactly what's wrong. Inform them that I know they are capable of much better and to give it another shot. ,11,,,,,,,Speak to them directly and let them know exactly what's wrong. Inform them that I know they are capable of much better and to give it another shot. ,0,0,0,0,11,1,7,1,1,7,1,1,7,1,1,7,1,4,4,1,5,7,5,1,1,5,1,5,5,5,5,3.5,7,5,5,5.666666667,5,5,5,5,5,1,1,,,,,,,33,3,Effort Scenario Fail,Fail,Effort,Task Dimensions|Strategy Dimensions|Mood Dimensions|Luck Dimensions|Effort Dimensions|Aptitude Dimensions,Q90|SO4|SO3|SO1|SO2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
94,,,,,,,,,I would talk with the employee and explain to them why I am likely rejecting their proposal. I'd have a discussion with them to see why they thought it was a good proposal to perhaps see if I was actually mistaken,6,,,I would talk with the employee and explain to them why I am likely rejecting their proposal. I'd have a discussion with them to see why they thought it was a good proposal to perhaps see if I was actually mistaken,1,0,0,0,6,2,5,3,2,3,2,2,2,2,2,3,2,5,5,6,6,5,5,3,3,4,3,4,4,4,4,3.625,7,6,6,6.333333333,4,4,4,4,4,1,,,,,,1,,38,4,Strategy Scenario Fail,Fail,Strategy,Task Dimensions|Strategy Dimensions|Aptitude Dimensions|Effort Dimensions|Luck Dimensions|Mood Dimensions,Q90|SO4|SO2|SO1|SO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,,,,,"I would call an individual meeting with the employee. I would express my disappointment with the project, but I would also ask them if there was anything personally that would have detracted from the quality of their work. If there seemed to be a legitimate reason that the quality had suffered, I would offer them an extra day or two to revise the proposal (as long as the plan's timeline could accommodate it). If they had flimsy excuses or didn't accept that the work wasn't very good, I would reject the proposal.",6,,,,,,,"I would call an individual meeting with the employee. I would express my disappointment with the project, but I would also ask them if there was anything personally that would have detracted from the quality of their work. If there seemed to be a legitimate reason that the quality had suffered, I would offer them an extra day or two to revise the proposal (as long as the plan's timeline could accommodate it). If they had flimsy excuses or didn't accept that the work wasn't very good, I would reject the proposal.",1,0,0,0,6,4,5,3,6,6,3,2,6,4,6,7,2,7,7,7,6,7,5,5,5,5,2,5,5,5,5,4.625,6,6,6,6,4,5,4,4,4.25,2,1,,,,,,,30,5,Effort Scenario Fail,Fail,Effort,Effort Dimensions|Mood Dimensions|Luck Dimensions|Strategy Dimensions|Aptitude Dimensions|Task Dimensions,Q90|SO3|SO4|SO2|SO1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0
96,,,"I would take this proposal and present it to upper management, so they could see the talented employee that we have, and work with him to advance his career with the company. Strategically get him the education/experience that would be helpful to him for career advancement.",9,,,,,,,,,"I would take this proposal and present it to upper management, so they could see the talented employee that we have, and work with him to advance his career with the company. Strategically get him the education/experience that would be helpful to him for career advancement.",0,1,0,0,9,2,3,6,1,6,2,1,7,3,2,7,2,7,7,7,7,7,5,4,5,3,3,4,4,4,3,3.75,6,5,5,5.333333333,3,3,4,4,3.5,2,1,,,,,,1,31,5,Aptitude Scenario Success,Success,Aptitude,Aptitude Dimensions|Task Dimensions|Effort Dimensions|Luck Dimensions|Strategy Dimensions|Mood Dimensions,Q90|SO1|SO4|SO2|SO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,,,,,,,,,I would return the report along with my evaluation. I would further more ask what his reasoning was behind this approach and why he sees it as addressing the  issue.,6,,,I would return the report along with my evaluation. I would further more ask what his reasoning was behind this approach and why he sees it as addressing the  issue.,1,0,0,0,6,1,5,4,1,7,1,1,7,1,1,7,1,7,7,5,4,7,5,2,4,3,2,5,4,5,5,3.75,5,3,2,3.333333333,3,5,3,4,3.75,1,1,,,,,,,60,5,Strategy Scenario Fail,Fail,Strategy,Strategy Dimensions|Aptitude Dimensions|Luck Dimensions|Effort Dimensions|Task Dimensions|Mood Dimensions,Q90|SO3|SO1|SO2|SO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,I would consider my options maybe I could reassign him/her to a project/job that would be better suited for him/her. I would look to hire someone new for the position.,3,,,,,,,,,,,I would consider my options maybe I could reassign him/her to a project/job that would be better suited for him/her. I would look to hire someone new for the position.,0,0,1,1,3,1,1,6,1,1,1,4,7,3,4,7,3,7,7,7,7,7,5,5,5,5,2,5,5,5,5,4.625,5,5,5,5,4,4,4,4,4,1,1,,,,,,,31,3,Aptitude Scenario Fail,Fail,Aptitude,Mood Dimensions|Aptitude Dimensions|Effort Dimensions|Task Dimensions|Strategy Dimensions|Luck Dimensions,Q90|SO1|SO3|SO2|SO4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,,,I would let the employee know how I feel and commend him on his work.  I would encourage him to keep up the good work and that I was impressed with him.  I would also try to cultivate his talent and make my superiors aware of his quality work and how he could be a real asset in the future to the company.,10,,,,,,,,,I would let the employee know how I feel and commend him on his work.  I would encourage him to keep up the good work and that I was impressed with him.  I would also try to cultivate his talent and make my superiors aware of his quality work and how he could be a real asset in the future to the company.,0,1,0,0,10,1,2,4,1,5,1,2,6,2,3,4,4,5,4,4,6,7,5,4,4,4,2,4,4,4,4,3.75,5,5,4,4.666666667,4,5,4,5,4.5,1,,1,,,,,,49,7,Aptitude Scenario Success,Success,Aptitude,Mood Dimensions|Effort Dimensions|Luck Dimensions|Task Dimensions|Aptitude Dimensions|Strategy Dimensions,Q90|SO2|SO4|SO1|SO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,,,,,,,"I would include my employee into the showcase, to highlight the vital role they played with created such a high quality proposal.",8,,,,,"I would include my employee into the showcase, to highlight the vital role they played with created such a high quality proposal.",0,0,0,0,8,1,5,4,1,5,1,1,5,4,1,4,2,5,6,7,4,6,5,3,3,3,3,2,3,2,3,2.75,5,4,2,3.666666667,2,3,2,2,2.25,1,,,,,,,1,29,4,Effort Scenario Success,Success,Effort,Mood Dimensions|Task Dimensions|Aptitude Dimensions|Effort Dimensions|Strategy Dimensions|Luck Dimensions,Q90|SO1|SO4|SO2|SO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,,,"I would praise the employee for submitting such a high quality proposal and, since it appears to be something I want to carry out, put him/her in charge of the project.  ",10,,,,,,,,,"I would praise the employee for submitting such a high quality proposal and, since it appears to be something I want to carry out, put him/her in charge of the project.  ",0,0,0,0,10,1,2,2,1,4,1,1,7,1,1,4,1,7,7,7,6,1,5,3,5,3,1,4,4,4,4,3.5,2,3,2,2.333333333,3,4,3,3,3.25,2,1,,1,,,,,51,5,Aptitude Scenario Success,Success,Aptitude,Luck Dimensions|Strategy Dimensions|Effort Dimensions|Aptitude Dimensions|Task Dimensions|Mood Dimensions,Q90|SO4|SO3|SO1|SO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,,,,,"I would have a meeting with the employee and have a heart-to-heart talk with him/her.  I would try to see if the person has some kind of problem personally that could be making his performance less than normal.  I would ask if he needed more guidance or had the resources necessary to do a better job.  If personal problems aren't the case, I would tell him that we need better quality or his job is at stake.",8,,,,,,,"I would have a meeting with the employee and have a heart-to-heart talk with him/her.  I would try to see if the person has some kind of problem personally that could be making his performance less than normal.  I would ask if he needed more guidance or had the resources necessary to do a better job.  If personal problems aren't the case, I would tell him that we need better quality or his job is at stake.",1,0,0,1,8,1,3,4,1,5,1,2,7,3,1,5,2,6,6,6,6,5,5,4,4,4,3,4,4,5,4,4,5,4,4,4.333333333,3,4,3,3,3.25,2,1,,,,,,,64,4,Effort Scenario Fail,Fail,Effort,Task Dimensions|Effort Dimensions|Mood Dimensions|Luck Dimensions|Strategy Dimensions|Aptitude Dimensions,Q90|SO4|SO3|SO2|SO1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
103,,,,,,,I would let this employee present the project and also write up a recommendation for bonus and/or better position in the company.,11,,,,,I would let this employee present the project and also write up a recommendation for bonus and/or better position in the company.,0,0,0,0,11,1,2,2,1,3,2,1,2,1,1,5,4,4,4,7,5,6,5,4,4,3,3,4,3,4,3,3.5,5,5,5,5,3,4,4,4,3.75,1,1,,,,,,,55,4,Effort Scenario Success,Success,Effort,Effort Dimensions|Aptitude Dimensions|Luck Dimensions|Task Dimensions|Mood Dimensions|Strategy Dimensions,Q90|SO4|SO1|SO2|SO3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
104,,,,,,,I would praise the employee for their hard work and diligence. And do everything in my power to help this employee execute his/her plan.,10,,,,,I would praise the employee for their hard work and diligence. And do everything in my power to help this employee execute his/her plan.,0,1,0,0,10,2,6,4,1,7,1,4,7,4,4,4,4,7,7,4,5,6,5,5,5,5,2,4,4,4,4,4.125,4,3,3,3.333333333,4,4,4,4,4,2,,,1,,,,,37,5,Effort Scenario Success,Success,Effort,Luck Dimensions|Task Dimensions|Aptitude Dimensions|Mood Dimensions|Effort Dimensions|Strategy Dimensions,Q90|SO1|SO2|SO3|SO4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
105,,,,,,,,,I would call that employee into my office and tell them that I believe that the proposal was low quality and that the strategy was not going to work. I would be nice about it and explain to them exactly why it wouldn't work and see if they could come up with reasons why it would work that maybe I am not seeing. I would then ask them to redo the proposal or I would find someone else to do it.,7,,,I would call that employee into my office and tell them that I believe that the proposal was low quality and that the strategy was not going to work. I would be nice about it and explain to them exactly why it wouldn't work and see if they could come up with reasons why it would work that maybe I am not seeing. I would then ask them to redo the proposal or I would find someone else to do it.,1,0,1,1,7,3,3,2,1,4,2,2,7,4,2,2,1,7,7,7,5,7,5,4,4,4,1,3,4,4,4,3.5,4,2,2,2.666666667,3,5,3,3,3.5,2,1,,,,,,,34,4,Strategy Scenario Fail,Fail,Strategy,Aptitude Dimensions|Luck Dimensions|Task Dimensions|Mood Dimensions|Effort Dimensions|Strategy Dimensions,Q90|SO2|SO1|SO4|SO3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
106,,,,,"I would take the proposal to the employee and ask them if they would like to take another try at the proposal and I'd be willing to give them a couple of more days. I'd explain that I know they could do better and that I know they didn't put in there best effort on this job, but I'd like to give them another chance.",4,,,,,,,"I would take the proposal to the employee and ask them if they would like to take another try at the proposal and I'd be willing to give them a couple of more days. I'd explain that I know they could do better and that I know they didn't put in there best effort on this job, but I'd like to give them another chance.",0,0,0,0,4,1,3,3,1,5,1,1,6,2,3,6,3,6,7,7,5,7,5,4,5,4,2,4,4,4,4,3.875,5,5,3,4.333333333,3,4,4,3,3.5,2,1,,,,,,,59,5,Effort Scenario Fail,Fail,Effort,Luck Dimensions|Task Dimensions|Aptitude Dimensions|Effort Dimensions|Mood Dimensions|Strategy Dimensions,Q90|SO1|SO4|SO3|SO2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1
107,,,,,I would either send them an email or talk to them face to face and tell them I do not think this work is up to standards and tell them they need to put more effort in.,5,,,,,,,I would either send them an email or talk to them face to face and tell them I do not think this work is up to standards and tell them they need to put more effort in.,0,0,0,0,5,2,2,3,6,6,3,2,6,4,2,5,4,6,5,6,5,5,5,4,5,4,4,5,4,3,4,4.125,6,7,6,6.333333333,4,3,4,3,3.5,1,1,,,,,,,23,5,Effort Scenario Fail,Fail,Effort,Effort Dimensions|Mood Dimensions|Task Dimensions|Aptitude Dimensions|Luck Dimensions|Strategy Dimensions,Q90|SO1|SO3|SO2|SO4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
108,,,,,,,,,I would reject the plan but i would criticize the employee's methodology if this was his first low quality proposal.  ,8,,,I would reject the plan but i would criticize the employee's methodology if this was his first low quality proposal.  ,0,0,0,0,8,2,5,3,2,6,2,1,6,2,3,5,1,7,6,7,3,6,5,1,2,2,4,3,2,3,3,2.5,3,3,2,2.666666667,3,3,2,3,2.75,1,,1,,,,,,29,7,Strategy Scenario Fail,Fail,Strategy,Task Dimensions|Mood Dimensions|Aptitude Dimensions|Effort Dimensions|Strategy Dimensions|Luck Dimensions,Q90|SO1|SO3|SO4|SO2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,"I'd schedule a meeting with the employee so that we could talk face to face about this proposal and my employee's work. I'd try to gauge if he's been giving an honest effort, and I'd warn him that his work is not up to the standards expected by this company and that it needs to improve. If he did not show swift improvement, perhaps because he really is not well suited for the work, I would unfortunately have to fire or demote him.",4,,,,,,,,,,,"I'd schedule a meeting with the employee so that we could talk face to face about this proposal and my employee's work. I'd try to gauge if he's been giving an honest effort, and I'd warn him that his work is not up to the standards expected by this company and that it needs to improve. If he did not show swift improvement, perhaps because he really is not well suited for the work, I would unfortunately have to fire or demote him.",1,0,1,1,4,1,5,4,1,6,1,1,7,3,1,6,2,7,7,7,7,7,5,4,4,4,2,5,5,5,5,4.25,4,4,3,3.666666667,3,4,3,3,3.25,1,1,,,,,,,31,4,Aptitude Scenario Fail,Fail,Aptitude,Aptitude Dimensions|Strategy Dimensions|Mood Dimensions|Task Dimensions|Effort Dimensions|Luck Dimensions,Q90|SO2|SO1|SO4|SO3,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1
110,Have the employee trained better for their role.,6,,,,,,,,,,,Have the employee trained better for their role.,0,0,0,0,6,2,7,4,1,7,2,1,7,3,1,7,1,7,7,7,4,7,5,4,3,3,1,4,5,3,4,3.375,2,2,3,2.333333333,3,3,3,3,3,2,1,,,,,,,38,5,Aptitude Scenario Fail,Fail,Aptitude,Effort Dimensions|Task Dimensions|Mood Dimensions|Luck Dimensions|Aptitude Dimensions|Strategy Dimensions,Q90|SO1|SO4|SO3|SO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,,,"I would showcase his proposal, take a look at the rest of his work and consider him for either a promotion or a raise.",9,,,,,,,,,"I would showcase his proposal, take a look at the rest of his work and consider him for either a promotion or a raise.",0,0,0,0,9,1,3,2,1,2,2,2,6,3,2,5,2,2,6,7,6,7,5,3,2,3,4,3,3,3,3,3,6,6,5,5.666666667,3,2,3,3,2.75,1,1,,,,,,,46,3,Aptitude Scenario Success,Success,Aptitude,Luck Dimensions|Aptitude Dimensions|Mood Dimensions|Effort Dimensions|Strategy Dimensions|Task Dimensions,Q90|SO4|SO3|SO2|SO1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
112,"What I would to is evaluate the employee in other areas and determine if their skills were good enough to justify keeping them on. Before making the decision to terminate them I would first check to see if there was a reason behind the low performance, such as problems outside of work. It would also be fair to see if they are getting the support needed from management or have problems associated with any possible bad management. ",6,,,,,,,,,,,"What I would to is evaluate the employee in other areas and determine if their skills were good enough to justify keeping them on. Before making the decision to terminate them I would first check to see if there was a reason behind the low performance, such as problems outside of work. It would also be fair to see if they are getting the support needed from management or have problems associated with any possible bad management. ",1,0,1,1,6,1,5,3,1,7,1,1,7,1,4,5,2,7,7,7,7,7,5,5,5,5,2,5,5,5,5,4.625,7,7,7,7,4,4,4,4,4,1,1,,,,,,,63,5,Aptitude Scenario Fail,Fail,Aptitude,Aptitude Dimensions|Effort Dimensions|Strategy Dimensions|Task Dimensions|Mood Dimensions|Luck Dimensions,Q90|SO4|SO2|SO1|SO3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
113,,,,,I would have a meeting with them and let them know I was very disappointed in their plan. I would have them regroup for a brain storming session to come up with new ideals. Once they had done that I would expect the group to submit several new plans for the project that we could talk about as a group and pick the best plan of action.,9,,,,,,,I would have a meeting with them and let them know I was very disappointed in their plan. I would have them regroup for a brain storming session to come up with new ideals. Once they had done that I would expect the group to submit several new plans for the project that we could talk about as a group and pick the best plan of action.,0,0,0,0,9,5,5,4,5,6,5,2,6,5,4,5,6,4,6,5,6,6,5,3,2,3,3,2,3,4,3,2.875,5,4,5,4.666666667,2,4,2,3,2.75,2,1,,,,,,,57,4,Effort Scenario Fail,Fail,Effort,Effort Dimensions|Aptitude Dimensions|Strategy Dimensions|Mood Dimensions|Task Dimensions|Luck Dimensions,Q90|SO4|SO3|SO2|SO1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
